Date,Price,Max Price,,15% drop,10% drop,5% drop,2% drop
12-02-2021,41.45918974,47.15737406,-10000,0,241,0,0
12-02-2021,39.29780947,47.15737406,-20000,509,0,0,0
15-02-2021,41.26270072,47.15737406,-10000,0,242,0,0
15-02-2021,39.78903283,47.15737406,-20000,503,0,0,0
16-02-2021,41.55743522,47.15737406,-10000,0,241,0,0
16-02-2021,39.44518009,47.15737406,-20000,507,0,0,0
17-02-2021,41.06621101,47.15737406,-10000,0,244,0,0
17-02-2021,39.4943001,47.15737406,-20000,506,0,0,0
18-02-2021,44.21003749,47.15737406,-5000,0,0,113,0
18-02-2021,40.32937789,47.15737406,-10000,0,248,0,0
19-02-2021,44.21003705,47.15737406,-5000,0,0,113,0
19-02-2021,42.29426803,47.15737406,-10000,0,236,0,0
22-02-2021,42.98197976,47.15737406,-5000,0,0,116,0
22-02-2021,40.96796774,47.15737406,-10000,0,244,0,0
23-02-2021,42.73636627,47.15737406,-5000,0,0,117,0
23-02-2021,39.29780807,47.15737406,-20000,509,0,0,0
24-02-2021,42.19602589,47.15737406,-10000,0,237,0,0
24-02-2021,39.64166589,47.15737406,-20000,505,0,0,0
25-02-2021,41.06620909,47.15737406,-10000,0,244,0,0
25-02-2021,39.78903107,47.15737406,-20000,503,0,0,0
26-02-2021,40.86972024,47.15737406,-10000,0,245,0,0
26-02-2021,39.39605239,47.15737406,-20000,508,0,0,0
01-03-2021,42.09777581,47.15737406,-10000,0,238,0,0
01-03-2021,39.29780846,47.15737406,-20000,509,0,0,0
02-03-2021,40.86972596,47.15737406,-10000,0,245,0,0
02-03-2021,39.73991603,47.15737406,-20000,503,0,0,0
03-03-2021,41.26270211,47.15737406,-10000,0,242,0,0
03-03-2021,40.23113531,47.15737406,-10000,0,249,0,0
04-03-2021,41.2627015,47.15737406,-10000,0,242,0,0
